Date,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,ABBOTINDIA.NS,ZYDUSLIFE.NS,JBCHEPHARM.NS,POLYMED.NS,RELIANCE.NS,NTPC.NS,COALINDIA.NS,ADANIPOWER.NS,BPCL.NS,GSPL.NS,UNOMINDA.NS,ITC.NS,MARICO.NS,BRITANNIA.NS,COLPAL.NS,VBL.NS,BALRAMCHIN.NS,NAVNETEDUL.NS
2020-01-27,401.6049499511719,542.3606567382812,427.7640686035156,11754.34375,248.4521484375,231.27468872070312,265.24871826171875,614.9513549804688,83.37338256835938,103.80912780761719,59.849998474121094,162.73291015625,236.05911254882812,191.81248474121094,177.52133178710938,281.8003845214844,2803.661376953125,1172.6309814453125,66.34567260742188,157.76309204101562,85.5086441040039
2020-02-03,409.2039794921875,549.941162109375,426.8011169433594,13456.3876953125,262.62353515625,263.8277587890625,318.5447692871094,637.3116455078125,88.1789779663086,110.71977996826172,60.849998474121094,180.3087921142578,232.74102783203125,187.8317413330078,172.98196411132812,288.3216552734375,2942.866943359375,1230.34912109375,73.08902740478516,163.79750061035156,84.15137481689453
2020-02-10,397.5680236816406,573.8372802734375,430.55682373046875,14107.0166015625,257.6611633300781,274.0842590332031,294.1133117675781,661.29443359375,85.96687316894531,104.55704498291016,59.599998474121094,174.82321166992188,228.75927734375,186.57855224609375,168.36155700683594,282.48046875,2802.8017578125,1203.10595703125,71.0261459350586,163.55612182617188,84.2917709350586
2020-02-17,384.6498107910156,565.3276977539062,419.6267395019531,14815.5615234375,266.4884033203125,250.59060668945312,315.6385803222656,660.5609130859375,84.9371109008789,107.30933380126953,57.650001525878906,173.0986328125,225.48858642578125,188.42147827148438,168.1588897705078,286.2193908691406,2769.08642578125,1205.978271484375,70.9914779663086,158.96998596191406,83.63653564453125
2020-02-24,356.7635803222656,508.33123779296875,387.2218322753906,14998.0888671875,248.1658477783203,252.8671875,292.8818664550781,590.6351318359375,81.27571105957031,100.7576904296875,47.29999923706055,156.4400634765625,213.7330322265625,183.552978515625,160.1339569091797,279.2554931640625,2688.350830078125,1153.825439453125,70.47576904296875,137.87376403808594,78.02019500732422
2020-03-02,383.55194091796875,550.6791381835938,418.3266906738281,14874.2412109375,253.9393768310547,274.5536804199219,304.623046875,565.0075073242188,80.2077865600586,100.96709442138672,44.099998474121094,147.90899658203125,211.26815795898438,171.17999267578125,147.32650756835938,264.1126403808594,2788.998779296875,1185.6917724609375,68.03584289550781,128.21875,75.11843872070312
2020-03-09,367.57464599609375,501.0373229980469,409.80413818359375,14287.25390625,240.05430603027344,271.8221435546875,268.93084716796875,491.34765625,74.79195404052734,92.20167541503906,30.950000762939453,137.98355102539062,194.58285522460938,159.52037048339844,131.5198211669922,243.6416778564453,2501.35546875,1077.97509765625,67.20376586914062,111.61209106445312,62.388092041015625
2020-03-16,349.44464111328125,503.1473693847656,378.26593017578125,14060.9794921875,272.73907470703125,242.06614685058594,237.0557098388672,452.51727294921875,61.97700881958008,79.45736694335938,29.049999237060547,116.6283187866211,176.80731201171875,131.158447265625,142.26025390625,239.20166015625,2233.624755859375,1065.00390625,52.243595123291016,86.31592559814453,54.61881637573242
2020-03-23,323.61297607421875,506.49041748046875,393.58612060546875,13497.3671875,241.15174865722656,243.19036865234375,233.5856475830078,473.6994934082031,63.311912536621094,85.90625762939453,27.600000381469727,102.28140258789062,155.90328979492188,115.7598648071289,132.28988647460938,237.31394958496094,2289.24365234375,1040.4534912109375,49.1492805480957,87.08833312988281,55.5938720703125
2020-03-30,359.68157958984375,546.4851684570312,433.70269775390625,15085.439453125,265.2998962402344,213.98455810546875,234.9736785888672,478.9672546386719,61.0633544921875,89.85258483886719,26.75,122.74321746826172,166.9004364013672,111.11079406738281,144.2056884765625,244.81350708007812,2320.017578125,1121.959228515625,46.5880241394043,110.74313354492188,57.5287971496582
2020-04-06,434.78472900390625,628.9320068359375,559.6038208007812,17064.419921875,339.2090148925781,245.46273803710938,250.7377166748047,542.3138427734375,66.85879516601562,91.8420639038086,30.399999618530273,133.48300170898438,180.9786376953125,128.8954315185547,150.16357421875,278.0458984375,2535.840087890625,1223.078369140625,50.0983772277832,118.75680541992188,61.917781829833984
